English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"Black and short hair male guinipig is crossed with brown and long hair female guinipig and F_{1} generation result into black and short hair guinpig.
F_{1} generation made with hybridization to F_{2} generation-
 i. phenotypic ration will be 9:3:3:1
 ii. Phenolypic ration will be 1:2:2:4:1:2:2:2:1
 iii. Copy of P_{1} as like mother's genotype only find in one generation
 Which one is correct?","কালোবর্ণ ও খাটো লোমের পুরুষ গিনিপিগের সাথে বাদামি বর্ণ ও লম্বা লোমের স্ত্রী গিনিপিগের সংকরায়নে F_{1} বংশধরে কালোবর্ণ ও খাটো লোমের গিনিপিগ পাওয়া যায়।
 
 F_{1} বংশধরের সংকরায়নের ক্ষেত্রে F_{2} জনুতে-
 i. ফিনোটাইপিক অনুপাত ৯:৩:৩:১ হবে
 ii. ফিনোটাইপিক অনুপাত ১:২:২:৪:১:২:২:২:১ হবে
 iii. হুবহু P_{1} এর মাতার ন্যায় জিনোটাইপ মাত্র একটি বংশধরে পাওয়া যায়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i ,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
What is the key of evolution?,বিবর্তনের চাবিকাঠি কোনটি?,Influence of environment and active effort,Uses and discuded of organ,Inheritance of acquored characteristics,Genetic variation,পরিবেশের প্রভাব ও সক্রিয় প্রচেষ্টা,অঙ্গের ব্যবহার ও অব্যবহার,অর্জিত বৈশিষ্ট্যের উত্তরাধিকার,জেনেটিক প্রকরণ,d
"In which part of the body more lymph glands are present?
 i. Neck
 ii,Armpit
 iii.Inguinal","দেহের কোন অংশে অধিক সংখ্যক লসিকা গ্রন্থি দেখা যায়?
 i. ঘাড়ে
 ii. বগলে
 iii. কুঁচকিতে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is the totipotent cell in Hydra's body?,হাইড্রার দেহের টটিপেটেন্সি কোষ কোনটি?,Sensory,Gland,Cnidocyte,Interistial,সংবেদী,গ্রন্থি,নিডোসাইট,ইন্টারস্টিশিয়াল,d
Non straited muscle is found-,অরৈখিক পেশি পাওয়া যায়,Uterine tube,tongue,diaphragm,pharynx,জরায়ু নালিতে,জিহ্বায়,মেধ্যচ্ছদা,গলবিলে,a
After how many weeks does the human embrio first start secretion surfactant?,কত সপ্তাহ বয়স্ক মানবভ্রূণে সর্বপ্রথম সারফ্যাকট্যান্ট ক্ষরণ শুরু হয়?,23,24,20,25,23,24,20,25,a
"The causes of synusitis-
 i.tooth infection
 ii.cystic fibrosis
 iii.if the nose bone is curved
 Which one is correct?","সাইনুসাইটি হবার কাণগুলো হলো-
 i. দাঁতের ইনফেকশন
 ii. সিইস্টক ফাইব্রোসিস
 iii. নাকের হাড় বাঁকা থাকলে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is the Heparin secretary blood corpuscle?,হেপারিন ক্ষরণকারী রক্ত কণিকা কোনটি?,Eosinophil,Newtrophil,Basophil,Thrombocyte,ইওসিনোফিল,নিউট্রোফিল,বেসোফিল,থ্রোম্বোসাইট,c
Which organ secrets ptyalin?,টায়ালিন নিঃসৃত হয় কোনটি থেকে?,Lever,Pancreas,Salivary gland,Stomach,যকৃত,অগ্ন্যাশয়,লালাগ্রন্থি,পাকস্থলি,c
Which is the second largest phylum of amimal kingdom?,প্রাণিজগতের দ্বিতীয় বৃহত্তম পর্ব কোনটি?,Cnidaria,Annelida,Mollusca,Arthropoda,Cnidaria,Annelida,Mollusca,Athropoda,c
Which is the pat of proctodaeum of Grasshopper?,ঘাসফড়িংয়ের প্রোক্টোডিয়ামের অংশ কোনটি?,Gizzard,Crop,Mesenteron,Ileum,গিজার্ড,ক্রপ,মেসেন্টেরস,ইলিয়াাম,d
"During walking by the pond Mr. Rafiq said to his son showing snail.""there is one more animal with shell living in the pond in which body pearl is created.""
 The phylum of the animal shown in the stimuli is-","পুকুরের পাশ দিয়ে হাটার সময় রফিক সাহেব তার ছেলে জিমিকে পুকুরের কিনারে একটি শামুককে দেখিয়ে বললো, পুকুরের পানিতে বিদ্যমান আরও একটি খোলকযুক্ত প্রাণী বাস করে যার দেহে মুক্তা সৃষ্টি হয়।
 
 উদ্দীপক অনুসারে প্রদর্শিত প্রাণীটির পর্ব হলো-",Cnidaria,Mollusca,Arthropoda,Echinodermata,Cnidaria,Mollusca,Arthropoda,Echinodermata,b
"During walking by the pond Mr. Rafiq said to his son showing snail.""there is one more animal with shell living in the pond in which body pearl is created.""
According to the stimuli the phylum's characteristic is-
 i.soft body and unsegmented
 ii.mantly layer is present
 iii.excretory organ flame cell
 Which one is correct?","পুকুরের পাশ দিয়ে হাটার সময় রফিক সাহেব তার ছেলে জিমিকে পুকুরের কিনারে একটি শামুককে দেখিয়ে বললো, পুকুরের পানিতে বিদ্যমান আরও একটি খোলকযুক্ত প্রাণী বাস করে যার দেহে মুক্তা সৃষ্টি হয়।
 
 উদ্দীপক অনুসারে পর্বটির বৈশিষ্ট্য হলো- 
 i. দেহ নরম ও অখন্ডায়িত
 ii. ম্যান্টল নামক আবরন বিদ্যমান
 iii. রেচন অঙ্গ শিখা কোষ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which artery of the below transmits blood in Ruie fishe's pelvic fin?,রুই মাছের শ্রেণি পাখনায় রক্ত পরিবহন করে নিচের কোন ধমনি?,Iliac,parietal,Coeliaco-mesenteric,Subclavian,ইলিয়াক,প্যারাইল,সিলিয়াকো-মেসেন্টারিক,সাবক্লাভিয়ান,a
Muhtasim is 5'4'' in height and 65 kg in weight.His BMI kg/m^{2} is-,"৫ ফুট ৪ ইঞ্চি উচ্চতায় মুহতাসিম এর ওজন ৬৫ কেজি, তাঁর BMI kg/m^{2}?",23.5,24.01,24.8,25.15,23.5,24.01,24.8,25.15,c
"Though eleventh class student Mini is able in normal color vision,her one brother is colour blind.The genotype of Mini's parents is-","একাদশ শ্রেণির ছাত্রী মিনি স্বাভাবিক বর্ণ দর্শনে সক্ষম হলেও তার এক ভাই বর্ণান্ধ।
 মিনির পিতা-মাতার জিনোটাইপ হলো-",X^{B}X^{B} and X^{b}Y,X^{B}X^{B} and X^{B}Y,X^{B}X^{b} and X^{B}Y,X^{b}X^{b} and X^{b}Y,X^{B}X^{B} ও X^{b}Y,X^{B}X^{B} ও X^{B}Y,X^{B}X^{b} ও X^{B}Y,X^{b}X^{b} ও X^{b}X^{b}Y,c
Which is yellow fibre cartilage?,পীত তন্তুময় তরুনাস্থি কোনটি?,Bronchiole of the Vertebrates,Pinna,Embryonic skeketon of the vertebrates,Tip of rip,মেরুদন্ডীদের শ্বাসনালি,কর্ণছত্র বা পিনা,মেরুদন্ডীদের ভ্রূনীয় কঙ্কাল,পর্শুকার প্রান্তভাগ,b
