English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"Refractive index of water is 1.33. If a lightray in incident at the angle of polarisation, the angle of refraction will be-",পানির প্রতিসরাঙ্ক 1.33। পানিতে সমাবর্তন কোণে আলোকরশ্মি আপতিত করলে প্রতিসরণ কোণ হবে-,90\degree,53\degree,37\degree,26\degree,90\degree,53\degree,37\degree,26\degree,c
"According to the theory of relativity-
 i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}}
 ii. L = \frac{L_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}}
 iii. m = \frac{m_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}}
 Which one is correct?","আপেক্ষিকতার তত্ত্ব অনুসারে-
 i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}}
 ii. L = \frac{L_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}}
 iii. m = \frac{m_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
The ratio of energy of electrons of first Bohr's orbit to the second Bohr's orbit is-,প্রথম ও দ্বিতীয় বোর কক্ষপথে ইলেক্ট্রনের শক্তির অনুপাত-,1 : 2,1 : 4,2 : 1,4 : 1,1:2,1:4,2:1,4:1,d
"If the potential on the surface of a charged hollow sphere of radius 5 cm is 10 V, the potential at its centre will be-",5 সেঃমিঃ ব্যাসার্ধের চার্জিত ফাঁপা গোলকের পৃষ্ঠে বিভব 10 V হলে কেন্দ্রে বিভব হবে-,0 V,2 V,5 V,10 V,0 V,2 V,5 V,10 V,d
"If the initial number of atoms of a radioactive substance is N_{0} and its half-life is 3 days, the number of intact atoms after 15 days will be-",কোন তেজস্ক্রিয় প্রারম্ভিক পরমাণু সংখ্যা N_{0} অর্ধায়ু 3 দিন হলে 15 দিন পর অক্ষত পরমাণু সংখ্যা-,\frac{N_{0}}{32},\frac{N_{0}}{16},\frac{N_{0}}{10},\frac{N_{0}}{8},\frac{N_{0}}{32},\frac{N_{0}}{16},\frac{N_{0}}{10},\frac{N_{0}}{8},a
In case of reversible process,প্রত্যাবর্তী প্রক্রিয়ার ক্ষেত্রে-,It is a spontaneous process,It is a slow process,Thermodynamical equilibrium is not maintained,Energy is dissipated,এটি স্বতঃস্ফূর্ত প্রক্রিয়া,এটি ধীর প্রক্রিয়া,তাপগতীয় সাম্যবস্থা বজায় থাকে না,শক্তির অপচয় হয়,b
The S.I unit for electric permeability is-,তড়িৎ প্রবেশ্যতার S.I একক হলো-,Nm^{-2}C^{-2},N^{-1}m^{-2}C^{-2},Nm^{-2}C^{2},N^{1}m^{-2}C^{2},Nm^{-2}C^{-2},N^{-1}m^{-2}C^{-2},Nm^{-2}C^{2},N^{1}m^{-2}C^{2},d
"The electric potential at any point on the axis at a distance r from the mid-point of an electric dipole is- 
 (Where p = 2lq)","কোনো তড়িৎ দ্বিমেরুর অক্ষের উপর মধ্যবিন্দু হতে r দূরত্বে কোনো বিন্দুতে তড়িৎ বিভব হলো-
 (যেখানে P = 2lq)",V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r-l},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r+l},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r^{2}-l^{2}},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r^{3}-l^{3}},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r-l},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r+l},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r^{2}-l^{2}},V = \frac{1}{4\pi \epsilon_{0}} = \frac{P}{r^{3}-l^{3}},c
The phase difference of particles in a wavefront is-,তরঙ্গমুখের উপরস্থ কণাসমূহের দশা পার্থক্য হল-,0 radian,\frac{\pi}{4} radian,\frac{\pi}{2} radian,\pi radian,0 রেডিয়ান,\frac{\pi}{4} রেডিয়ান,\frac{\pi}{2} রেডিয়ান,\pi রেডিয়ান,a
"The temperature of the heat sink of a heat engine is 360K and efficiency is 40%.
 
 The temperature of the beat source is-","কোনো তাপ ইঞ্জিনের তাপগ্রাহকের তাপমাত্রা 360 K এবং দক্ষতা 40%।
 
 তাপ উৎসের তাপমাত্রা হলো-",400 K,600 K,720 K,900 K,400 K,600 K,720 K,900 K,b
"The temperature of the heat sink of a heat engine is 360K and efficiency is 40%.
 
 The temperature of heat source to be increased to double the efficiency of the engine is-","কোনো তাপ ইঞ্জিনের তাপগ্রাহকের তাপমাত্রা 360 K এবং দক্ষতা 40%।
 
 ইঞ্জিনের দক্ষতা দ্বিগুণ করতে হলে উৎসের তাপমাত্রা বৃদ্ধি করতে হবে-",450 K,600 K,900 K,1200 K,450 K,600 K,900 K,1200 K,d
"In Galilean transformation-
 i. equations of Newtonian Mechanics remains unchaged
 ii. the mathematical expression for electromagnetic theory is changed
 iii. second postulates of special theory of relativity is violated
 Which one is correct?","গ্যালিলিও রূপান্তরে-
 i. নিউটনিয়ান বলবিদ্যার সমীকরণের রূপ অপরিবর্তিত থাকে
 ii. তড়িৎ চুম্বকীয় সমীকরণের রূপ পরিবর্তিত হয়
 iii. আইনস্টাইনের দ্বিতীয় স্বীকার্য লঙ্ঘিত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"In transistor I_{0} = 5mA and I_{B} = 100 \mu A
 
 What is the current in the emitter?","একটি ট্রানজিস্টরের সংগ্রাহক প্রবাহ 5 mA এবং ভূমি প্রবাহ 100 \mu A ।
 
 নিঃসারক প্রবাহ কত?",5.0001 mA,5.001 mA,5.01 mA,5.1 mA,5.0001 mA,5.001 mA,5.01 mA,5.1 mA,d
"In transistor I_{0} = 5mA and I_{B} = 100 \mu A
 
 Amplification factor \alpha = ?","একটি ট্রানজিস্টরের সংগ্রাহক প্রবাহ 5 mA এবং ভূমি প্রবাহ 100 \mu A ।
 
 প্রবাহ বিবর্ধক গুণক \alpha কত হবে?",0.02,0.98,1.02,50,0.02,0.98,1.02,50,b
Which equation is the combination of first and second law of thermodynamics?,তাপগতিবিদ্যার ১ম ও ২য় সূত্রের সমন্বিত রূপ-,dU = TdS + PdV,dU = TdS - PdV,dU = VdP - TdS,dU = VdP + TdS,dU = TdS + PdV,dU = TdS - PdV,dU = VdP - TdS,dU = VdP + TdS,b
A heater of 220V is nm by 110V. What will be the amount of heat produced compared to the previous amount?,220 V এর হিটার 110 V এ চালালে উৎপাদিত তাপ পূর্বের-,Twice,equal,Half,One-fourth,দ্বিগুণ হবে,একই হবে,অর্ধেক হবে,এক-চতুর্থাংশ হবে,d
The first law of thermodynamics relates-,তাপগতিবিদ্যার প্রথম সূত্র সম্পর্ক স্থাপন করে-,Heat and pressure,Heat and force,Heat and work,Heat and power,তাপ ও চাপ এর মধ্যে,তাপ ও বল এর মধ্যে,তাপ ও কাজ এর মধ্যে,তাপ ও ক্ষমতা এর মধ্যে,c
"In adiabatic process-
 i. PV^{\gamma} = constant
 ii. TV^{1 - \gamma} = constant
 iii. T^{\gamma} P^{1 - \gamma} = constant
 Which one is correct?","রুদ্ধতাপীয় পরিবর্তনের ক্ষেত্রে-
 i. PV^{\gamma} = ধ্রুবক
 ii. TV^{1 - \gamma} = ধ্রুবক
 iii. T^{\gamma} P^{1 - \gamma} = ধ্রুবক
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
The unit of electromotive force is-,তড়িচ্চালক শক্তির একক হলো-,Ampere,Joule,Coulomb,Volt,অ্যাম্পিয়ার,জুল,কুলম্ব,ভোল্ট,d
"Shunt is directly used in-
 i. Ammeter
 ii. Voltmeter
 iii. Galvanometer
 Which one is correct?","সান্ট সরাসরি ব্যবহার করা হয়-
 i. অ্যামিটার-এ
 ii. ভোল্টমিটার-এ
 iii. গ্যালভানোমিটার-এ
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
The path difference between two point on light wave is \frac{\lambda}{4}. What is the phase difference?,একটি তরঙ্গের দুটি বিন্দুর মধ্যে পথ পার্থক্য \frac{\lambda}{4} হলে দশা পার্থক্য কত?,\frac{\pi}{2},\pi,\frac{3\pi}{2},2\pi,\frac{\pi}{2},\pi,\frac{3\pi}{2},2\pi,a
"Transistor use in-
 i. amplifier
 ii. switch
 iii. rectifier
 Which one is correct?","ট্রানজিস্টর ব্যবহার করা যায়-
 i. সুইচ হিসেবে
 ii. বিবর্ধক হিসেবে
 iii. একমুখীকারক হিসেবে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"Full wave rectifier circuit is made of-
 i. 2 diodes
 ii. 3 diodes
 iii. 4 diodes
 Which one is correct?","পূর্ণতরঙ্গ একমুখীকরণ বর্তনী তৈরি করা যায়-
 i. ২ টি ডায়োড দিয়ে
 ii. ৩ টি ডায়োড দিয়ে
 iii. ৪ টি ডায়োড দিয়ে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
If G and S are the resistance of galvanometer and shunt respectively then the co-efficient of shunt is-,"G = গ্যালভালোমিটারের রোধ এবং S = সান্ট হলে, সান্টের গুণক হবে-",\frac{S}{G + S},\frac{G + S}{S},\frac{G}{G + S},\frac{G + S}{G},\frac{S}{G + S},\frac{G + S}{S},\frac{G}{G + S},\frac{G + S}{G},b
"In Carnot's engine 840 J of heat is absorbed from a source at 400 K and is released 630 J of heat in the sink.
 
 What is the temperature of the sink?","একটি কার্নো ইঞ্জিনের কার্যনির্বাহক বস্তু 400 K তাপমাত্রার তাপ উৎস হতে 840 J তাপ গ্রহণ করে তাপগ্রাহকে 630 J তাপ বর্জন করে।
 
 তাপ গ্রাহকের তাপমাত্রা কত?",210 K,300 K,400 K,440 K,210 K,300 K,400 K,440 K,b
Which of the following has negative thermal co-efficient of resistance?,নিচের কোনটির রোধের উষ্ণতা গুণাংক ঋণাত্মক?,Copper,Brass,Aluminium,Germanium,তামা,পিতল,অ্যালুমিনিয়াম,জার্মেনিয়াম,d
Which of the following is the range of wavelength for visible spectrum?,দৃশ্যমান বর্ণালির তরঙ্গদৈর্ঘ্যের বিস্তৃতি-,2000 \AA - 3000 \AA,3000 \AA - 4000 \AA,4000 \AA - 8000 \AA,8000 \AA - 12000 \AA,2000 \AA থেকে 3000 \AA পর্যন্ত,3000 \AA থেকে 4000 \AA পর্যন্ত,4000 \AA থেকে 8000 \AA পর্যন্ত,8000 \AA থেকে 12000 \AA পর্যন্ত,c
"In Physics laboratory the instructor instructed present students to perform Young's double slit experiment. Instructor explained the observation made by the students following wave theory of light.
 
 In experimental observation to increase the visibility of the bands-","পদার্থবিজ্ঞান গবেষণাগারে শিক্ষক উপস্থিত শিক্ষার্থীদের ইয়ং-এর দ্বিচিড় পরীক্ষার ব্যবস্থা করতে বললেন। শিক্ষার্থীরা পরীক্ষাটি আলোর তরঙ্গ তত্ত্ব মেনে ব্যতিচার সংঘটিত হয়েছে মর্মে পর্যবেক্ষণ করলেন।
 
 উক্ত পরীক্ষার ব্যতিচার ডোরার দৃষ্টি গ্রাহ্যতা বাড়াতে হলে-",distance between screen and slits has to decrease,distance between slits need t decrease,"distance between slits and screen, distance between slits both need to decrease","distance between slits and screen, distance between slits both need to increase",চিড়দ্বয় হতে পর্দার দূরত্ব কমাতে হবে,চিড়দ্বয়ের মধ্যবর্তী দূরত্ব কমাতে হবে,চিড়দ্বয় হতে পর্দার দূরত্ব ও চিড়দ্বয়ের মধ্যবর্তী দূরত্ব উভয়ই কমাতে হবে,চিড়দ্বয় হতে পর্দার দূরত্ব ও চিড়দ্বয়ের মধ্যবর্তী দূরত্ব উভয়ই বাড়াতে হবে,b
"In Physics laboratory the instructor instructed present students to perform Young's double slit experiment. Instructor explained the observation made by the students following wave theory of light.
 
 If the distance between slits is equal to the wave length of the light used, then how many bright bands will form?","পদার্থবিজ্ঞান গবেষণাগারে শিক্ষক উপস্থিত শিক্ষার্থীদের ইয়ং-এর দ্বিচিড় পরীক্ষার ব্যবস্থা করতে বললেন। শিক্ষার্থীরা পরীক্ষাটি আলোর তরঙ্গ তত্ত্ব মেনে ব্যতিচার সংঘটিত হয়েছে মর্মে পর্যবেক্ষণ করলেন।
 
 এই পরীক্ষায় চিড়দ্বয়ের ব্যবধান আলোর তরঙ্গদৈর্ঘ্যের সমান হলে সর্বোচ্চ কতটি উজ্জ্বল পট্টি গঠিত হয়?",2,3,4,5,2,3,4,5,b
The kinetic energy of a particle is double of its energy in stationary statch. The moving mass relative to stationary mass is-,কোনো কণার গতিশক্তি এর স্থিরাবস্থার শক্তির দ্বিগুণ। কণাটির গতিশীল ভর স্থির ভরের-,twice,three times,four times,nine times,দ্বিগুণ,তিন গুণ,চার গুণ,নয় গুণ,b
The valence bond of a substance is almost full and the conduction bond is almost empty. The energy gap between the two bands is very small. The substance is a-,একটি পদার্থের যোজন ব্যান্ড প্রায় পূর্ণ এবং পরিবহন ব্যান্ড প্রায় খালি। ব্যান্ড দুটোর শক্তি ব্যবধান খুবই বেশি। পদার্থটি হলো-,conductor,semi-conductor,insulator,super conductor,পরিবাহী,অর্ধপরিবাহী,অন্তরক,অতিপরিবাহী,c
"If the length of a conductor is twice and radius is half, the final resistance is how much times tahn that of initial?",কোনো পরিবাহীর দৈর্ঘ্য দ্বিগুণ ও ব্যাসার্ধ অর্ধেক করলে চূড়ান্ত রোধ হবে প্রাথমিক রোধের কত গুণ?,two times,four times,eight times,tweleve times,দ্বিগুণ,চার গুণ,আট গুণ,বার গুণ,c
"If a heat engine releases half of its heat, what is the efficiency of the engine?",কোনো তাপ ইঞ্জিন হতে অর্ধেক তাপ বর্জন হলে ইঞ্জিনের দক্ষতা কত হবে?,25%,50%,75%,80%,25%,50%,75%,80%,b
The thermodynamic process in which the entropy remains constant is-,যে ভৌত প্রক্রিয়ায় এনট্রপি স্থির থাকে তা হলো-,adiabatic process,isothermal process,isobaric process,isochoric process,রুদ্ধতাপীয় প্রক্রিয়া,সমোষ্ণ প্রক্রিয়া,সমচাপ প্রক্রিয়া,সমআয়তন প্রক্রিয়া,a
"Increase pressure slowly of a system the pressure change 2pa to 4pa. In isochoric process internal energy increase 200 J. In systems-
 i. given heat 200J
 ii. work dine is zero
 iii. increase the temperature
 Which one is correct?","ধীরে ধীরে চাপ বৃদ্ধি করায় কোনো সিস্টেমের চাপ 2 Pa হতে 4 Pa হলো। এক্ষেত্রে সম আয়তন প্রক্রিয়ায় সিস্টেমের অভ্যন্তরীণ শক্তি 200 J বৃদ্ধি পেলো। সিস্টেমের-
 i. সরবরাহকৃত তাপ 200 J
 ii. কৃতকাজ শূন্য
 iii. তাপমাত্রা বৃদ্ধি
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What kind change of conductivity of a conductor when temperature is increased?,তাপমাত্রা বৃদ্ধি পেলে পরিবাহীর পরিবাহকত্ব কীরূপ হবে?,increase,unchanged,decrease,becomes zero,বৃদ্ধি পাবে,অপরিবর্তিত থাকবে,হ্রাস পাবে,শূন্য হবে,c
Flow of current becomes one-third of a conductor then the heat generation at fixed time is that of the initial is-,কোনো নির্দিষ্ট পরিবাহীতে প্রবাহমাত্রা এক-তৃতীয়াংশ করলে নির্দিষ্ট সময়ে উৎপন্ন তাপ হবে প্রাথমিক তাপের-,double,equal,one-third,one-ninth,দ্বিগুণ,সমান,এক-তৃতীয়াংশ,এক-নবমাংশ,d
Shunt is used in the device as-,সান্ট ব্যবহৃত হয় কোন যন্ত্রে?,ammeter,voltmeter,meterbridge,post office box,অ্যামিটার,ভোল্ট মিটার,মিটার ব্রিজ,পোস্ট অফিস বক্স,a
A clock is in motion frame of reference with respect to rest one is-,স্থির কাঠামোর তুলনায় গতিশীল কাঠামোতে ঘড়ি-,moves slow,moves fast,remains the same,moves at double rate,ধীরে চলে,দ্রুত চলে,একই থাকে,দ্বিগুণ দ্রুত চলে,a
"A person of 60kg is in a rocket moves over a field of length 500 m with spped of 0.8 c.
 
 The person will measure the length of the field is-","60 kg ভরের একজন লোক 0.8 c বেগে চলমান রকেটে চড়ে 500 m দৈর্ঘ্যের একটি মাঠ অতিক্রম করলো।
 
 রকেটের লোকটি মাঠের দৈর্ঘ্য পরিমাপ করবে-",300 m,400 m,625 m,833 m,300 m,400 m,625 m,833 m,a
"A person of 60kg is in a rocket moves over a field of length 500 m with spped of 0.8 c.
 
 An observer on the field will measure the mass of the person in rocket is-","60 kg ভরের একজন লোক 0.8 c বেগে চলমান রকেটে চড়ে 500 m দৈর্ঘ্যের একটি মাঠ অতিক্রম করলো।
 
 ঐ মাঠে অবস্থিত একজন পর্যবেক্ষক লোকটির ভর পরিমাপ করবে-",36kg,60 kg,75 kg,100 kg,36 kg,60 kg,75 kg,100 kg,d
The collector and base current of a resistor is 5 mA and 100 \mu A respectively. Then the emitter current is-,একটি ট্রানজিস্টরের সংগ্রাহক প্রবাহ 5 mA এবং ভূমি প্রবাহ 100 \mu A হলে নিঃসারক প্রবাহ কত?,5.2 mA,5.1 mA,5.0 mA,4.9 mA,5.2 mA,5.1 mA,5.0 mA,4.9 mA,b
The instruments used in operations are disinfected with-,শল্য চিকিৎসায় ব্যবহৃত যন্ত্রপাতি জীবাণুমুক্ত করতে ব্যবহৃত হয়-,X-ray,gamma ray,ultra violet ray,infrared ray,এক্স রশ্মি,গামা রশ্মি,অতিবেগুনি রশ্মি,অবলোহিত রশ্মি,c
"The proponent of the electromagnetic wave velocity, c = \frac{1}{\mu_{0} \varepsilon_{0}} is-",তড়িৎ চৌম্বকীয় তরঙ্গের বেগ c = \frac{1}{\mu_{0} \varepsilon_{0}} প্রতিপাদিত হয়েছে যে তত্ত্ব হতে তার প্রবক্তা হলেন-,Max Plank,Max Well,Einstein,Newton,ম্যাক্স প্ল্যাঙ্ক,ম্যাক্স ওয়েল,আইনস্টাইন,নিউটন,b
"The characteristics of wavefront are-
 i. the phase of every particle in te wave front are identical
 ii. the wavefront maintains the same phase at one wavelength interval
 iii. the wave propagate along the perpendicular to the wavefront
 Which one is correct?","তরঙ্গ মুখের বৈশিষ্ট্য হল-
 i. তরঙ্গমুখে প্রতিটি কণার দশা অভিন্ন
 ii. এক তরঙ্গদৈর্ঘ্য ব্যবধানে তরঙ্গমুখ সমদশায় থাকে
 iii. তরঙ্গমুখের অভিলম্ব বরাবর তরঙ্গ সঞ্চালিত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
The width of the bright fringe on the screen 1.2 m away from the two slits with a spacing of 0.2 mm is 1.74 mm. The wavelength of light used is-,0.2 mm ব্যবধানবিশিষ্ট দুটি চিড় হতে 1.2 m দূরে অবস্থিত পর্দায় সৃষ্ট উজ্জ্বল ডোরার প্রস্থ 1.74 mm । ব্যবহৃত আলোর তরঙ্গদৈর্ঘ্য হল-,4800 \AA,5800 \AA,6800 \AA,7200 \AA,4800 \AA,5800 \AA,6800 \AA,7200 \AA,b
The rest mass of an electron is 9.1 \times 10^{-31} kg and its moving mass is 2.09 \times 10^{-30} kg. What is the kinetic energy of the electron?,একটি ইলেকট্রনের নিশ্চল ভর 9.1 \times 10^{-31} kg । গতিশীল করায় ইলেকট্রনটির ভর হলো 2.09 \times 10^{-30} kg । ইলেকট্রনের গতিশক্তি কত?,0.819 \times 10^{-13} J,1.062 \times 10^{-13} J,1.881 \times 10^{-13} J,2.7 \times 10^{-13} J,0.819 \times 10^{-13} J,1.062 \times 10^{-13} J,1.881 \times 10^{-13} J,2.7 \times 10^{-13} J,b
"According to theory of relativity-
 i. a moving clock runs slower than a stationary clock
 ii. the length of a moving bar is less than its static length
 iii. an object cannot move with a speed equal to that of light
 Which one is correct?","আপেক্ষিক তত্ত্বানুসারে-
 i. গতিশীল ঘড়ি, নিশ্চল ঘড়ির চেয়ে ধীরে চলে
 ii. কোনো দণ্ডের গতিশীল অবস্থার দৈর্ঘ্য দণ্ডটির নিশ্চল অবস্থার দৈর্ঘ্যের চেয়ে ছোট হবে
 iii. কোনো বস্তু আলোর বেগের সমান বেগে চলতে পারে না
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the equivalent energy of 1000 g mass?,1000 g ভরের সমতূল্য শক্তি কত?,10 \times 10^{16} J,9 \times 10^{16} J,3.1 \times 10^{16} J,1.6 \times 10^{16} J,10 \times 10^{16} J,9 \times 10^{16} J,3.1 \times 10^{16} J,1.6 \times 10^{16} J,b
What is the unit of entropy?,এনট্রপির একক কোনটি?,J kg^{-1},J kg^{-1} mol^{-1},J kg^{-1} K^{-1},J K^{-1},J kg^{-1},J kg^{-1} mol^{-1},J kg^{-1} K^{-1},J K^{-1},d
What is the angular momentum of an electron in an approved orbit according to Bohr?,বোরের স্বীকার্য অনুসারে অনুমোদিত কক্ষপথে ইলেক্ট্রনের কৌণিক ভরবেগ কত?,L = \frac{nh}{2\pi},L = \frac{2\pi}{nh},L = \frac{2n\pi}{h},L = \frac{2h}{\pi},L = \frac{nh}{2\pi},L = \frac{2\pi}{nh},L = \frac{2n\pi}{h},L = \frac{2h}{\pi},a
What kind of light rays and waves are formed in the fresnel class of diffraction?,ফ্রেনেল শ্রেণির অপবর্তনে আলোকরশ্মি ও তরঙ্গমুখ কীরূপ হবে?,Convergent and spherical,Divergent and spherical,Parallel and plane,Parallel and cylindrical,অভিসারী ও গোলীয়,অপসারী ও গোলীয়,সমান্তরাল ও সমতল,সমান্তরাল ও বেলনাকৃতি,b
How much the molar specific heat at constant volume when \gamma = \frac{5}{3} at argon gas?,অর্গান গ্যাসের ক্ষেত্রে \gamma = \frac{5}{3} হলে স্থির আয়তনে মোলার আপেক্ষিক তাপ কত?,\frac{7}{2} R,\frac{5}{2} R,\frac{3}{2} R,R,\frac{7}{2} R,\frac{5}{2} R,\frac{3}{2} R,R,c
Which scientist did make the relation between current flow and electric potential?,তড়িৎ প্রবাহ ও তড়িৎ বিভব এর মধ্যে সম্পর্ক স্থাপন করেন কোন বিজ্ঞানী?,Volt,Ohm,Ampere,Newton,ভোল্ট,ওহম,অ্যাম্পিয়ার,নিউটন,b
What is the dimension decay constant of radioactive elements?,তেজস্ক্রিয় ক্ষয় ধ্রুবকের মাত্রা কোনটি?,[T],[T^{-1}],[ \lambda ],[\lambda^{-1}],[T],[T^{-1}],[\gamma],[\gamma^{-1}],b
What is the value of (\sqrt{\epsilon_{0}\mu_{0}})^{-1}?,(\sqrt{\epsilon_{0}\mu_{0}})^{-1} এর মান কোনটি?,6.63 \times 10^{-34} Js,8.85 \times 10^{-12} N^{-1} m^{-2} C^{2},9 \times 10^{9} Nm^{2} C^{-2},3 \times 10^{8} ms^{-1},6.63 \times 10^{-34} Js,8.85 \times 10^{-12} N^{-1} m^{-2} C^{2},9 \times 10^{9} Nm^{2} C^{-2},3 \times 10^{8} ms^{-1},d
"5 \mu C charge provide a hollow sphere of radius 20 cm.
 
 How much electric intensity create inside the sphere?","20 cm ব্যাসার্ধের একটি ফাঁপা গোলকে 5\mu C চার্জ প্রদান করা হলো।
 
 গোলকের অভ্যন্তরে তড়িৎ প্রাবল্য কত?",Infinite,5.625 \times 10^{6} NC^{-1},1.125 \times 10^{6} NC^{-1},Zero,অসীম,5.625 \times 10^{6} NC^{-1},1.125 \times 10^{6} NC^{-1},শূন্য,d
"Properties of nuclear force-
 i. is long range
 ii. is attractional
 iii. is short range
 Which one is correct?","নিউক্লিয় বলের বৈশিষ্ট্য-
 i. বেশি পাল্লা 
 ii. আকর্ষণধর্মী
 iii. স্বল্প পাল্লা
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
On the basis of which law of thermodynamic the refrigerator built?,রেফ্রিজারেটর তাপগতিবিদ্যার কোন সূত্রের ভিত্তিতে নির্মিত হয়?,Zeroth,First,Second,Third,শূন্যতম,প্রথম,দ্বিতীয়,তৃতীয়,c
What is the right information about shunt?,শান্ট সম্পর্কে সঠিক তথ্য কোনটি?,"Parallel to the instrument, large amount resistance","Series to the instrument, small amount resistance","Parallel to the instrument, small amount resistance","Series to the instrument, large amount resistance",যন্ত্রের সাথে সমান্তরালে যুক্ত বড় মানের রোধ,যন্ত্রের সাথে শ্রেণিতে যুক্ত ছোট মানের রোধ,যন্ত্রের সাথে সমান্তরালে যুক্ত ছোট মানের রোধ,যন্ত্রের সাথে শ্রেণিতে যুক্ত বড় মানের রোধ,c
What is the range of wave length of visible light ray?,দৃশ্যমান আলোর তরঙ্গদৈর্ঘ্যের পাল্লা কোনটি?,100 nm to 300 nm,400 nm to 780 nm,1000 nm to 1200 nm,5000 nm to 10000 nm,100 nm হতে 300 nm,400 nm হতে 780 nm,1000 nm হতে 1200 nm,"5000 nm হতে 10,000 nm",b
"Change of adiabatic process-
 i. create quickly
 ii. occurs in non-conductive vessel
 iii. PV^{\delta - 1} = constant
 Which one is correct?","রুদ্ধতাপীয় পরিবর্তন-
 i. দ্রুত সংঘটিত হয়
 ii. অপরিবাহী পাত্রে সংঘটিত হয়
 iii. PV^{\gamma - 1} = ধ্রুবক
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
What is the property of a wire in electric fuse?,বৈদ্যুতিক ফিউজ-এ তারের বৈশিষ্ট্য কোনটি?,"Low resistance, high melting point","High resistance, high melting point","High resistance, low melting point","Low resistance, low melting point","কম রোধ, উচ্চ গলনাঙ্ক","উচ্চ রোধ, উচ্চ গলনাঙ্ক","উচ্চ রোধ, কম গলনাঙ্ক","কম রোধ, কম গলনাঙ্ক",d
Following which material's resistance has negative thermal co-efficient (\alpha)?,নিচের কোন পদার্থের রোধের উষ্ণতা গুণাংক (\alpha) ঋণাত্মক?,Germnanium,Copper,Brass,Mica,জার্মেনিয়াম,ব্রোঞ্জ,পিতল,অভ্র,a
What is _{20}^{40}\textrm{Ca} ও _{19}^{39}\textrm{K} each other?,_{20}^{40}\textrm{Ca} ও _{19}^{39}\textrm{K} পরস্পরের কী?,Isotope,Isotone,Isobar,Isomar,আইসোটোপ,আইসোটোন,আইসোবার,আইসোমার,b
Which one is weakest force?,কোনটি সর্বাপেক্ষা দুর্বল বল?,Grativational force,weak nuclear force,Electromotive force,Strong nuclear force,মহাকর্ষ,নিউক্লিয় দুর্বল বল,তাড়িত চৌম্বকীয় বল,নিউক্লিয় সবল বল,a
"Which information is applicable for photon particle-
 i. rest mass infinity
 ii. no charge
 iii. momentum P = \frac{h}{\lambda}
 Which one is correct?","ফোটন কণার ক্ষেত্রে কোন তথ্য প্রযোজ্য-
 i. স্থিতিভর অসীম
 ii. চার্জহীন
 iii. ভরবেগ, P = \frac{h}{\lambda}
 নিচের কোনটি সঠিক?",i,ii,iii,ii and iii,i,ii,iii,ii ও iii,d
Written in the building main meter 6A-220V. How many bulb of 90W can be sofely used?,বাড়ির প্রধান মিটারে 6A - 220V লেখা আছে। 90W এর কতগুলো বাল্ব নিরাপদে ব্যবহার করা যাবে?,11,22,33,44,11,22,33,44,a
